"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"105"	"1004"	"11"	"New"	NA	7.36799999999999	-0.107630664192365	"Noun"	22	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"106"	"1050"	"11"	"New"	148.593468806921	9.46600000000001	0.362905493689369	"Noun"	29	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"107"	"1169"	"11"	"New"	NA	2.319	0.693147180559945	"Noun"	36	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"108"	"1170"	"11"	"New"	228.217571367848	10.734	0.144581228811108	"Noun"	24	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"109"	"1171"	"11"	"New"	339.600070279223	17.357	0.887303195000903	"Noun"	25	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"110"	"1172"	"11"	"New"	580.809701536184	1.283	0.100083458556983	"Noun"	7	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"111"	"1173"	"11"	"New"	322.993247471244	10.207	0.363965377201412	"Noun"	9	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"112"	"1174"	"11"	"New"	78.6946383601736	8.61699999999999	-0.0674412807955327	"Noun"	18	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"113"	"1175"	"11"	"New"	-309.003715730808	0.978000000000009	0.299242894852857	"Noun"	22	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"114"	"1176"	"11"	"New"	165.097224769266	12.72	0.150282203049338	"Noun"	5	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"115"	"1177"	"11"	"New"	234.883048173607	6.49299999999999	0.0540672212702756	"Noun"	16	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"116"	"1178"	"11"	"New"	263.619845104933	10.796	0.300104592450338	"Noun"	22	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"117"	"1179"	"11"	"New"	401.858976575411	10.226	0.0645385211375712	"Noun"	6	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"118"	"1180"	"11"	"New"	NA	2.188	0.395312736644146	"Noun"	22	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"119"	"207"	"11"	"New"	1543.30401245573	6.30499999999999	0.504556010752395	"Noun"	26	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"120"	"264"	"11"	"New"	NA	4.21899999999999	0.315852949418477	"Noun"	12	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"121"	"741"	"11"	"New"	NA	6.232	0.0784716154414953	"Noun"	22	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"122"	"820"	"11"	"New"	14.5871173908032	0.585000000000008	0.101096116871369	"Noun"	13	"Sue had trouble finding a birthday present for John. But eventually, she got lucky. She sent John an interesting book."
"123"	"1004"	"11"	"NoAlternative"	NA	9.56099999999999	-0.0215062052209635	"Adjective"	34	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"124"	"1050"	"11"	"NoAlternative"	306.893413898174	10.758	0.344840486291729	"Noun"	17	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"125"	"1169"	"11"	"NoAlternative"	194.277250424147	7.173	0.146603474191875	"Noun"	12	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"126"	"1170"	"11"	"NoAlternative"	291.287303274969	12.136	-0.0363676441708749	"Adjective"	10	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"127"	"1171"	"11"	"NoAlternative"	203.089981767836	18.543	0.967584026261706	"Noun"	3	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"128"	"1172"	"11"	"NoAlternative"	1382.74805837592	3.67	0.154150679827258	"Noun"	21	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"129"	"1173"	"11"	"NoAlternative"	371.550995448956	2.26900000000001	0.340325805937203	"Noun"	32	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
"130"	"1174"	"11"	"NoAlternative"	NA	8.97499999999999	0.816761136527122	"Noun"	4	"Sue had trouble finding a good book that might interest John. But eventually, she got lucky. She sent John an interesting book."
